milhas_por_ano,ano_do_modelo,preco,vendido
21801,2000,30941.02,1
7843,1998,40557.96,1
7109,2006,89627.5,0
26823,2015,95276.14,0
7935,2014,117384.68,1
14661,2007,55405.26,1
9990,2002,93415.61,1
11599,2008,65265.09,0
7834,1999,43917.53,1
14913,2003,107860.41,1
14065,2016,75668.42,0
15095,2001,97411.7,0
16534,2009,91062.94,0
21998,2007,73156.01,0
7133,2005,82622.46,1
12453,2002,64115.99,1
9936,2006,48974.9,1
22052,2011,28007.36,1
14093,2015,94217.51,0
15922,2000,111136.8,1
20400,2014,37384.17,1
9354,2012,36271.82,1
20370,1999,82597.52,0
7777,2002,81831.93,0
15562,2013,92271.67,0
14568,2002,55734.53,1
12160,2004,67789.32,1
12391,1999,71840.26,0
12874,2007,25413.75,1
11018,2004,64497.7,0
16430,2007,76894.04,0
20295,2013,48359.62,1
16790,2002,56539.06,0
12467,2006,81757.83,0
13998,2000,80965.58,0
26928,1998,82776.88,0
15991,2003,61589.78,0
15377,2006,66655.85,0
17362,2011,85107.04,0
7674,2007,113990.61,0
21256,2002,29338.23,1
14363,2003,57463.74,0
12108,2008,41296.05,0
23908,2001,96446.05,0
11422,2001,53993.85,1
14670,2008,64387.6,0
13070,2008,116393.77,0
8761,2015,75332.79,0
25971,2000,53268.18,0
11442,2000,102184.72,0
16932,2013,107433.92,0
15780,2006,93167.18,0
17456,2008,88662.57,0
15088,2006,25889.56,1
19412,2008,70653.63,0
15439,2002,76666.68,0
16056,1999,106302.54,1
24778,2006,43890.33,1
12882,1998,62553.77,1
21616,2008,46776.67,1
15590,2000,34985.57,1
17635,2013,80251.29,0
9047,1998,54196.09,1
22674,2001,16736.17,1
11113,2004,45467.13,1
10041,2001,42956.65,1
5584,2007,85338.55,1
15164,1999,12017.79,1
11609,2000,105524.5,1
20954,1999,49745.4,1
17009,1999,95592.87,0
11399,2010,86444.77,1
10358,2000,33596.02,1
23972,2012,75782.68,0
10932,2014,84454.22,0
13589,2006,81748.68,0
