nao_finalizado,horas_esperadas,preco
0,75.0,6985.0
1,0.0,4325.293458459349
0,87.0,14205.0
1,13.0,100.0
0,2.0,202.0
0,49.0,1096.0
1,75.0,1261.0
1,98.0,17515.0
1,41.0,207.0
0,93.0,16117.0
1,99.0,3737.0
0,31.0,221.0
0,87.0,13207.0
0,75.0,5324.0
0,41.0,581.0
1,7.0,197.0
1,73.0,1741.0
1,10.0,190.0
1,24.0,153.0
0,76.0,5707.0
0,15.0,164.0
1,37.0,303.0
0,39.0,480.0
1,40.0,287.0
1,0.0,1769.2765083475003
1,64.0,1152.0
0,0.0,1230.2293159800743
0,70.0,3761.0
1,0.0,4570.990484416986
1,1.0,202.0
0,70.0,1390.0
1,66.0,4029.0
1,7.0,163.0
0,71.0,5606.0
0,35.0,387.0
1,99.0,13076.0
0,10.0,275.0
0,91.0,16764.0
0,72.0,4433.0
1,47.0,980.0
0,78.0,8679.0
1,38.0,199.0
0,44.0,652.0
1,81.0,8206.0
0,0.0,961.2176847168561
0,32.0,305.0
0,0.0,953.2360283536276
0,29.0,330.0
1,5.0,237.0
1,58.0,712.0
0,95.0,16377.0
1,88.0,9364.0
1,0.0,754.7253138438638
1,12.0,118.0
0,84.0,9735.0
1,82.0,4428.0
0,27.0,212.0
0,77.0,8078.0
1,30.0,193.0
1,60.0,2605.0
0,78.0,7812.0
1,58.0,1771.0
0,42.0,613.0
0,5.0,225.0
1,94.0,5085.0
0,22.0,315.0
1,26.0,168.0
0,55.0,1737.0
1,0.0,3304.1492833568823
1,0.0,318.04386763946525
1,52.0,313.0
1,48.0,198.0
0,0.0,4169.295769959677
0,97.0,6089.0
1,66.0,874.0
1,0.0,1591.100660180181
0,74.0,5430.0
1,82.0,10549.0
1,10.0,190.0
0,40.0,595.0
1,87.0,3223.0
0,63.0,3223.0
1,12.0,193.0
1,86.0,11996.0
1,5.0,161.0
0,37.0,488.0
1,81.0,5390.0
1,50.0,318.0
1,80.0,1976.0
1,17.0,107.0
0,45.0,717.0
1,0.0,3854.8564214775915
1,46.0,494.0
1,80.0,2408.0
0,0.0,4719.32955568695
0,51.0,1089.0
1,14.0,142.0
0,84.0,11675.0
0,8.0,239.0
1,14.0,237.0
0,81.0,9746.0
0,16.0,243.0
1,89.0,1779.0
1,66.0,1206.0
0,94.0,20346.0
0,30.0,255.0
1,3.0,133.0
0,15.0,252.0
1,77.0,6350.0
0,12.0,264.0
0,0.0,1127.2430436451316
0,35.0,214.0
1,85.0,5365.0
1,70.0,1523.0
1,84.0,6438.0
1,63.0,1962.0
1,40.0,491.0
0,41.0,497.0
0,41.0,542.0
1,0.0,3765.1164123234375
1,0.0,2562.092610080595
1,58.0,1334.0
1,0.0,3362.6792287239296
1,83.0,4184.0
1,5.0,210.0
1,32.0,182.0
1,80.0,9861.0
1,79.0,630.0
1,88.0,8081.0
0,83.0,11040.0
1,60.0,959.0
1,2.0,114.0
1,63.0,1752.0
0,29.0,278.0
0,3.0,297.0
1,26.0,148.0
0,27.0,299.0
1,14.0,134.0
1,47.0,553.0
0,41.0,454.0
0,17.0,281.0
1,66.0,1417.0
1,0.0,4391.185227452084
1,11.0,107.0
1,0.0,2154.3884852930964
1,31.0,240.0
1,12.0,150.0
1,23.0,172.0
1,84.0,968.0
0,0.0,1325.954092569658
1,96.0,19606.0
0,32.0,377.0
0,90.0,17635.0
0,2.0,179.0
1,74.0,2622.0
1,81.0,6958.0
1,40.0,246.0
1,16.0,122.0
0,96.0,20889.0
1,51.0,719.0
1,52.0,1409.0
0,42.0,477.0
1,13.0,119.0
0,22.0,309.0
0,59.0,1660.0
1,31.0,180.0
1,61.0,1106.0
1,97.0,4274.0
1,72.0,5738.0
0,84.0,9999.0
1,6.0,297.0
1,65.0,1623.0
1,75.0,726.0
1,88.0,2883.0
1,58.0,463.0
0,43.0,408.0
0,52.0,1427.0
1,22.0,172.0
1,74.0,2820.0
0,62.0,589.0
0,50.0,872.0
1,62.0,685.0
1,1.0,236.0
1,56.0,822.0
0,10.0,238.0
0,0.0,582.4473609287073
0,93.0,19905.0
1,2.0,103.0
1,0.0,1570.861390396315
0,16.0,102.0
1,22.0,155.0
0,88.0,11816.0
1,1.0,102.0
0,16.0,184.0
0,94.0,18254.0
0,92.0,298.0
0,78.0,7118.0
0,0.0,239.27402930073322
0,87.0,8140.0
1,27.0,332.0
0,5.0,236.0
0,58.0,1626.0
1,53.0,1224.0
0,87.0,13027.0
1,71.0,2715.0
0,9.0,128.0
1,66.0,2428.0
0,82.0,10576.0
1,68.0,803.0
0,79.0,7048.0
1,48.0,260.0
1,20.0,185.0
1,14.0,125.0
0,37.0,448.0
0,0.0,1797.5453800563253
0,0.0,397.7771449643907
0,75.0,7402.0
0,2.0,231.0
0,67.0,3468.0
0,59.0,2392.0
0,93.0,7824.0
0,97.0,21987.0
0,57.0,1817.0
1,63.0,905.0
1,93.0,12163.0
0,82.0,10355.0
0,68.0,3085.0
1,43.0,374.0
1,77.0,2536.0
1,92.0,3772.0
1,81.0,8159.0
1,5.0,184.0
0,28.0,247.0
1,87.0,11521.0
1,76.0,535.0
0,32.0,397.0
1,23.0,318.0
0,9.0,214.0
1,66.0,2347.0
0,0.0,3102.2766577695993
0,28.0,240.0
0,44.0,621.0
1,0.0,3716.9071775129623
1,81.0,4122.0
1,0.0,3175.997256129182
0,88.0,11846.0
0,43.0,604.0
0,0.0,895.4768453966768
1,17.0,116.0
0,2.0,271.0
0,8.0,218.0
1,68.0,2507.0
0,12.0,219.0
0,9.0,114.0
0,26.0,304.0
0,13.0,214.0
1,31.0,301.0
1,37.0,278.0
0,39.0,202.0
0,64.0,3411.0
1,10.0,195.0
0,83.0,10110.0
0,78.0,8684.0
0,0.0,794.3018189826435
1,10.0,162.0
1,26.0,153.0
1,5.0,253.0
0,17.0,142.0
1,0.0,4379.552775756934
1,70.0,1531.0
0,74.0,6055.0
0,0.0,222.7725681317315
1,43.0,159.0
0,31.0,332.0
0,27.0,278.0
0,67.0,3210.0
0,65.0,2932.0
1,8.0,118.0
0,18.0,236.0
0,40.0,600.0
0,71.0,3814.0
1,3.0,102.0
0,19.0,277.0
1,66.0,594.0
1,13.0,171.0
1,86.0,5642.0
1,95.0,8864.0
0,38.0,385.0
0,53.0,1063.0
0,35.0,378.0
1,55.0,1530.0
1,2.0,121.0
1,13.0,101.0
1,87.0,450.0
0,36.0,413.0
1,0.0,3194.443973243127
0,10.0,162.0
0,0.0,3983.393929521118
1,93.0,5905.0
1,58.0,1089.0
